gen,nevals,congestion_avg,congestion_std,congestion_min,congestion_max,time_avg,time_std,time_min,time_max,distance_avg,distance_std,distance_min,distance_max
1,10,1.0,0.0,1.0,1.0,448.4,30.3189709587908,393.0,477.0,2528.8,187.54562111656992,2234.0,2827.0
2,10,1.0,0.0,1.0,1.0,436.8,37.099326139432776,393.0,475.0,2408.8,142.74648857327455,2234.0,2530.0
3,10,1.0,0.0,1.0,1.0,406.6,27.911288039071216,393.0,475.0,2292.5,117.01046961703898,2234.0,2530.0
4,10,1.0,0.0,1.0,1.0,393.0,0.0,393.0,393.0,2234.0,0.0,2234.0,2234.0
5,10,1.0,0.0,1.0,1.0,393.0,0.0,393.0,393.0,2234.0,0.0,2234.0,2234.0
6,10,1.0,0.0,1.0,1.0,393.0,0.0,393.0,393.0,2234.0,0.0,2234.0,2234.0
7,7,1.0,0.0,1.0,1.0,393.0,0.0,393.0,393.0,2234.0,0.0,2234.0,2234.0
8,10,1.0,0.0,1.0,1.0,393.0,0.0,393.0,393.0,2234.0,0.0,2234.0,2234.0
9,9,1.0,0.0,1.0,1.0,393.0,0.0,393.0,393.0,2234.0,0.0,2234.0,2234.0
10,10,1.0,0.0,1.0,1.0,393.0,0.0,393.0,393.0,2234.0,0.0,2234.0,2234.0
11,10,1.0,0.0,1.0,1.0,393.0,0.0,393.0,393.0,2234.0,0.0,2234.0,2234.0
12,8,1.0,0.0,1.0,1.0,393.0,0.0,393.0,393.0,2234.0,0.0,2234.0,2234.0
